domain;pdbid;datatype;IBS;IBS;IBS;IBS;IBS;IBS;nonIBS;nonIBS;nonIBS;nonIBS;nonIBS;nonIBS
;;;Exposed;Exposed;Exposed;nonExposed;nonExposed;nonExposed;Exposed;Exposed;Exposed;nonExposed;nonExposed;nonExposed
;;;vertex;protrusions;Hydrophobic_protrusions;vertex;protrusions;Hydrophobic_protrusions;vertex;protrusions;Hydrophobic_protrusions;vertex;protrusions;Hydrophobic_protrusions
C2;1a25B00;cathpdb;12;8;2;0;0;0;35;25;1;1;0;0
PLA;1a2aE00;cathpdb;12;9;3;0;0;0;23;18;2;1;0;0
PLA;1a3fB00;cathpdb;12;10;1;0;0;0;25;15;2;0;0;0
ANNEXIN;1a8aA01;cathpdb;10;7;1;0;0;0;24;13;0;0;0;0
ANNEXIN;1aeiB02;cathpdb;10;7;1;0;0;0;21;10;1;0;0;0
ANNEXIN;1aiiA03;cathpdb;8;6;1;0;0;0;22;13;2;0;0;0
ANNEXIN;1alaA03;cathpdb;13;9;1;0;0;0;21;11;1;0;0;0
ANNEXIN;1anxB01;cathpdb;9;7;1;0;0;0;25;12;0;0;0;0
ANNEXIN;1anxB02;cathpdb;10;5;1;0;0;0;21;11;0;0;0;0
ANNEXIN;1anxB03;cathpdb;9;6;1;0;0;0;24;16;1;0;0;0
ANNEXIN;1anxB04;cathpdb;8;5;0;0;0;0;25;9;4;0;0;0
PLD;1aodA00;cathpdb;15;11;3;0;0;0;48;32;2;0;0;0
PLA;1aokA00;cathpdb;11;9;2;0;0;0;21;15;1;1;0;0
PLA;1aokB00;cathpdb;10;10;4;0;0;0;23;13;2;1;1;0
ANNEXIN;1aowA02;cathpdb;10;4;2;0;0;0;24;14;2;0;0;0
ANNEXIN;1avcA01;cathpdb;9;7;2;0;0;0;25;11;0;0;0;0
ANNEXIN;1avcA02;cathpdb;10;5;1;0;0;0;19;11;0;0;0;0
ANNEXIN;1avcA03;cathpdb;9;7;2;0;0;0;25;17;2;0;0;0
ANNEXIN;1avcA04;cathpdb;11;6;1;0;0;0;27;7;1;0;0;0
ANNEXIN;1avcA05;cathpdb;9;7;1;0;0;0;25;14;2;0;0;0
ANNEXIN;1avcA06;cathpdb;10;7;0;0;0;0;23;11;1;0;0;0
ANNEXIN;1avcA07;cathpdb;9;5;0;0;0;0;22;12;1;0;0;0
ANNEXIN;1avcA08;cathpdb;9;5;0;0;0;0;24;8;2;2;0;0
ANNEXIN;1axnA01;cathpdb;8;5;1;0;0;0;27;12;0;0;0;0
ANNEXIN;1axnA02;cathpdb;9;7;0;0;0;0;24;12;1;0;0;0
ANNEXIN;1axnA04;cathpdb;8;6;3;0;0;0;26;10;3;0;0;0
PLA;1aypB00;cathpdb;12;10;2;0;0;0;26;13;1;0;0;0
PLA;1b4wC00;cathpdb;11;9;3;0;0;0;22;13;2;0;0;0
PH;1b55B00;cathpdb;12;9;0;0;0;0;30;21;6;0;0;0
START;1b6fA00;cathpdb;8;5;0;0;0;0;31;16;2;0;0;0
PH;1bakA00;cathpdb;9;6;1;0;0;0;22;17;3;1;0;0
ANNEXIN;1bc0A03;cathpdb;9;6;0;0;0;0;24;15;1;0;0;0
ANNEXIN;1bc1A01;cathpdb;10;7;1;0;0;0;25;14;0;0;0;0
ANNEXIN;1bc1A02;cathpdb;8;5;1;0;0;0;25;12;1;0;0;0
ANNEXIN;1bc1A03;cathpdb;8;6;1;0;0;0;24;16;1;0;0;0
ANNEXIN;1bc1A04;cathpdb;9;5;0;0;0;0;26;9;4;0;0;0
ANNEXIN;1bcwA01;cathpdb;10;7;1;0;0;0;25;13;0;0;0;0
ANNEXIN;1bczA01;cathpdb;9;6;1;0;0;0;25;13;0;0;0;0
ANNEXIN;1bczA02;cathpdb;8;5;1;0;0;0;24;11;1;0;0;0
ANNEXIN;1bczA03;cathpdb;8;6;1;0;0;0;23;15;1;0;0;0
C2;1bdyA00;cathpdb;8;6;1;0;0;0;23;17;1;0;0;0
PLA;1bjjD00;cathpdb;14;10;4;0;0;0;24;17;2;0;0;0
ANNEXIN;1bo9A00;cathpdb;11;7;1;0;0;0;26;10;0;1;0;0
PLA;1bpqA00;cathpdb;11;10;1;0;0;0;26;18;1;0;0;0
PH;1btkA00;cathpdb;13;9;0;0;0;0;31;25;5;0;0;0
PLA;1bunA00;cathpdb;14;10;1;0;0;0;21;16;2;2;0;0
PH;1bwnA00;cathpdb;11;10;0;0;0;0;24;19;3;0;0;0
PLA;1c1jC00;cathpdb;12;9;3;0;0;0;22;14;2;0;0;0
PLA;1cehA00;cathpdb;11;10;1;0;0;0;28;16;1;0;0;0
C2DIS;1ciyA03;cathpdb;12;8;1;0;0;0;39;23;2;0;0;0
C2;1cjyA01;cathpdb;11;9;5;0;0;0;30;20;0;2;0;0
C2DIS;1cx1A00;cathpdb;7;3;0;0;0;0;40;25;2;0;0;0
C2DIS;1czsA00;cathpdb;12;6;3;0;0;0;29;19;3;0;0;0
C2DIS;1d7pM00;cathpdb;9;7;4;0;0;0;30;22;2;3;1;0
PH;1dbhA02;cathpdb;7;4;1;0;0;0;26;20;1;0;0;0
PLD;1djxB03;cathpdb;9;7;3;0;0;0;47;30;4;0;0;0
ANNEXIN;1dk5A01;cathpdb;11;7;1;0;0;0;28;17;2;0;0;0
ANNEXIN;1dk5A02;cathpdb;11;7;2;0;0;0;21;11;1;0;0;0
ANNEXIN;1dk5A03;cathpdb;8;5;0;0;0;0;27;14;1;2;0;0
ANNEXIN;1dk5A04;cathpdb;13;9;0;0;0;0;24;15;0;0;0;0
ANNEXIN;1dm5A02;cathpdb;8;6;1;0;0;0;21;10;1;0;0;0
ANNEXIN;1dm5A03;cathpdb;12;7;1;0;0;0;24;10;0;0;0;0
ANNEXIN;1dm5C01;cathpdb;8;6;1;0;0;0;24;11;0;1;0;0
ANNEXIN;1dm5E04;cathpdb;10;6;1;0;0;0;23;8;2;0;0;0
PLA;1dpyA00;cathpdb;13;10;2;0;0;0;29;16;2;0;0;0
C2;1dqvA02;cathpdb;12;7;3;0;0;0;34;22;1;1;0;0
PH;1droA00;cathpdb;17;13;0;0;0;0;22;15;0;0;0;0
PH;1dynB00;cathpdb;11;8;1;0;0;0;34;17;4;0;0;0
